,c_qu,l_qu,c_ar,l_ar,prop_0-14,prop_15-29,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-14,nombre_15-29,nombre_30-44,nombre_45-59,nombre_60-74,nombre_75+,pop,densite,nombretransport,field_1,numquartier,ref,nb_logmt_total,nombre_de_commerce,id_quartier_x,nombreent,CA 1,id_quartier_y,nombretrot9h,id_quartier_x,nombretrot14h,id_quartier_y,nombretrot19h,nombretrottotal
10,2,Halles,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,1,2,25.24374999999999,445,25,2,732,3652209.62568306,2,36,2,32,2,33,101
11,1,Saint-Germain-l'Auxerrois,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,0,1,28.23125000000001,215,4,1,99,78741306.04040404,1,32,1,29,1,28,89
12,32,Europe,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,12,31,32,27.590624999999996,415,35,32,1867,7232969.075522228,32,84,32,85,32,87,256
13,29,Champs-Elysées,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,8,28,29,28.231250000000003,14,5,29,1230,12751576.749593496,29,63,29,65,29,62,190
14,31,Madeleine,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,6,30,31,28.231250000000006,51,24,31,2296,9846318.880226482,31,57,31,60,31,60,177
15,30,Faubourg-du-Roule,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,2,29,30,28.231250000000006,353,16,30,2510,6788415.453386454,30,37,30,39,30,39,115
16,44,Sainte-Marguerite,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,6,43,44,25.165624999999995,1605,68,44,673,1595500.778603269,44,53,44,52,44,50,155
17,42,Saint-Ambroise,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,4,41,42,25.165624999999995,1188,44,42,518,1452410.4285714286,42,60,42,54,42,52,166
18,41,Folie-Méricourt,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,7,40,41,23.978125,887,31,41,590,1621806.8423728812,41,47,41,38,41,33,118
19,43,Roquette,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,3,42,43,23.97812499999999,1905,84,43,702,2161754.9928774927,43,80,43,80,43,65,225
20,54,Parc-de-Montsouris,14,14ème Ardt,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,3,53,54,23.978125,1622,7,54,154,11955361.850649351,54,32,54,28,54,29,89
21,53,Montparnasse,14,14ème Ardt,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,7,52,53,25.243749999999995,775,43,53,352,1270338.2528409092,53,62,53,64,53,52,178
22,55,Petit-Montrouge,14,14ème Ardt,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,6,54,55,25.165625,1659,40,55,409,1640830.1124694378,55,53,55,50,55,44,147
23,56,Plaisance,14,14ème Ardt,12.6,26.3,19.9,17.2,15.1,8.9,17125.0,35790.0,27094.0,23338.0,20548.0,12068.0,135963.0,23684,5,55,56,24.468750000000004,3681,72,56,472,5972834.934322034,56,78,56,68,56,72,218
24,57,Saint-Lambert,15,15ème Ardt,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,9,56,57,24.5125,5827,62,57,808,51494285.37128713,57,51,57,52,57,54,157
25,59,Grenelle,15,15ème Ardt,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,8,58,59,25.43124999999999,1116,51,59,640,11661519.5265625,59,91,59,96,59,97,284
26,58,Necker,15,15ème Ardt,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,10,57,58,26.537499999999998,1251,30,58,611,6405689.387888707,58,56,58,53,58,51,160
27,60,Javel,15,15ème Ardt,13.6,24.2,21.4,17.6,14.3,8.9,31728.0,56578.0,49991.0,40968.0,33276.0,20851.0,233392.0,27201,12,59,60,25.43124999999999,2838,35,60,651,58411653.7265745,60,95,60,85,60,92,272
28,6,Vivienne,2,2ème Ardt,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,5,6,27.140625,19,20,6,544,5537765.681985294,6,26,6,28,6,34,88
29,5,Gaillon,2,2ème Ardt,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,4,5,28.23125,5,5,5,600,6018874.388333334,5,26,5,36,5,26,88
30,7,Mail,2,2ème Ardt,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,0,6,7,27.140625000000004,323,17,7,505,6105698.835643564,7,22,7,25,7,23,70
31,8,Bonne-Nouvelle,2,2ème Ardt,12.0,26.2,27.3,19.8,10.6,4.1,2510.0,5475.0,5705.0,4147.0,2209.0,854.0,20900.0,21872,2,7,8,27.140625,175,26,8,504,1708492.267857143,8,8,8,3,8,3,14
32,10,Enfants-Rouges,3,3ème Ardt,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,5,9,10,27.140625,282,28,10,249,1422401.7951807228,10,34,10,32,10,34,100
33,9,Arts-et-Métiers,3,3ème Ardt,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,6,8,9,27.140625,339,21,9,396,154506241.0151515,9,10,9,14,9,17,41
34,11,Archives,3,3ème Ardt,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,1,10,11,27.140625,343,16,11,294,3023433.017006803,11,33,11,37,11,35,105
35,12,Sainte-Avoie,3,3ème Ardt,11.4,25.9,25.2,19.2,12.5,5.8,3894.0,8836.0,8589.0,6535.0,4269.0,1993.0,34116.0,29638,0,11,12,27.140625000000004,232,16,12,240,4027418.841666667,12,15,12,16,12,12,43
36,24,Saint-Germain-des-Prés,6,6ème Ardt,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,2,23,24,28.231250000000006,104,10,24,197,2189393.4162436547,24,25,24,25,24,26,76
37,21,Monnaie,6,6ème Ardt,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,3,20,21,28.23125,45,30,21,240,1790548.8708333333,21,31,21,31,21,38,100
38,22,Odéon,6,6ème Ardt,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,1,21,22,28.231250000000003,55,29,22,242,1716875.1818181819,22,70,22,71,22,67,208
39,23,Notre-Dame-des-Champs,6,6ème Ardt,10.2,27.6,16.4,16.9,17.3,11.5,4198.0,11343.0,6752.0,6958.0,7103.0,4745.0,41099.0,21062,8,22,23,30.190624999999994,489,47,23,577,2037689.870017331,23,105,23,100,23,108,313
40,37,Saint-Vincent-de-Paul,10,10ème Ardt,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,14,36,37,25.24375,1305,30,37,525,1868491.5847619048,37,20,37,22,37,23,65
41,38,Porte-Saint-Denis,10,10ème Ardt,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,5,37,38,25.243749999999995,666,46,38,685,5970502.064233577,38,13,38,14,38,12,39
42,39,Porte-Saint-Martin,10,10ème Ardt,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,3,38,39,23.978124999999995,967,51,39,493,2292410.5598377283,39,23,39,34,39,32,89
43,40,Hôpital-Saint-Louis,10,10ème Ardt,14.9,23.5,26.7,18.5,11.4,4.9,13476.0,21260.0,24147.0,16749.0,10341.0,4400.0,90373.0,323888,4,39,40,23.978125,1423,20,40,341,2058294.0762463342,40,41,40,39,40,37,117
44,45,Bel-Air,12,12ème Ardt,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,7,44,45,22.700000000000003,3582,20,45,321,2945113.0560747664,45,52,45,51,45,53,156
45,48,Quinze-Vingts,12,12ème Ardt,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,8,47,48,23.978125,1856,81,48,682,5529266.9457478,48,91,48,91,48,97,279
46,47,Bercy,12,12ème Ardt,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,5,46,47,22.7,921,9,47,160,13582874.9125,47,93,47,75,47,74,242
47,46,Picpus,12,12ème Ardt,13.4,22.7,22.4,18.5,14.3,8.7,18783.0,31882.0,31399.0,25955.0,20035.0,12241.0,140295.0,8686,13,45,46,23.084375000000005,3360,56,46,616,1684234.3685064935,46,156,46,154,46,150,460
48,66,Plaine de Monceaux,17,17ème Ardt,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,5,65,66,26.5375,2809,41,66,1023,4716073.723362659,66,46,66,36,66,46,128
49,67,Batignolles,17,17ème Ardt,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,2,66,67,25.165625,2140,47,67,602,3507552.7707641195,67,36,67,35,67,33,104
50,68,Epinettes,17,17ème Ardt,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,6,67,68,23.978125,2622,39,68,461,2372095.184381779,68,20,68,23,68,21,64
51,65,Ternes,17,17ème Ardt,14.3,23.9,23.1,17.9,13.5,7.3,23963.0,39931.0,38669.0,29978.0,22582.0,12166.0,167289.0,29166,7,64,65,26.5375,1166,39,65,1160,5796541.059482759,65,49,65,52,65,62,163
52,51,Maison-Blanche,13,13ème Ardt,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,11,50,51,24.468749999999996,3740,37,51,540,4660832.687037037,51,79,51,80,51,76,235
53,52,Croulebarbe,13,13ème Ardt,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,1,51,52,25.24374999999999,774,13,52,160,2026566.61875,52,33,52,35,52,34,102
54,49,Salpêtrière,13,13ème Ardt,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,9,48,49,25.165624999999995,951,20,49,250,43127456.372,49,27,49,23,49,22,72
55,50,Gare,13,13ème Ardt,13.7,23.7,20.3,19.0,15.2,8.1,24939.0,43233.0,36897.0,34577.0,27739.0,14714.0,182099.0,24896,8,49,50,20.703125000000004,9110,43,50,582,12048830.70274914,50,144,50,146,50,147,437
56,27,Ecole-Militaire,7,7ème Ardt,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,3,26,27,30.190625,132,9,27,186,735492.0053763441,27,69,27,66,27,69,204
57,26,Invalides,7,7ème Ardt,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,6,25,26,30.190624999999994,366,11,26,207,6252943.797101449,26,48,26,47,26,44,139
58,28,Gros-Caillou,7,7ème Ardt,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,2,27,28,30.190625,81,40,28,639,5784372.295774648,28,103,28,98,28,100,301
59,25,Saint-Thomas-d'Aquin,7,7ème Ardt,12.1,23.6,17.3,18.2,17.3,11.5,6235.0,12118.0,8863.0,9374.0,8870.0,5907.0,51367.0,13936,5,24,25,30.190625,168,15,25,400,4298275.4225,25,34,25,36,25,33,103
60,61,Auteuil,16,16ème Ardt,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,11,60,61,25.431249999999995,3784,30,61,892,3719390.9058295963,61,106,61,95,61,87,288
61,62,Muette,16,16ème Ardt,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,5,61,62,27.590625,296,39,62,783,4361367.56449553,62,83,62,82,62,81,246
62,64,Chaillot,16,16ème Ardt,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,5,63,64,27.590625000000003,95,17,64,1501,52072974.52165223,64,79,64,84,64,77,240
63,63,Porte-Dauphine,16,16ème Ardt,14.6,20.8,17.1,19.7,16.3,11.5,24303.0,34645.0,28427.0,32763.0,27135.0,19089.0,166362.0,9714,6,62,63,27.590625000000003,446,11,63,652,2743025.107361963,63,55,63,54,63,54,163
64,79,Père-Lachaise,20,20ème Ardt,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,5,78,79,22.7,2781,45,79,432,761890.9513888889,79,24,79,19,79,29,72
65,78,Saint-Fargeau,20,20ème Ardt,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,8,77,78,20.703125,2721,20,78,200,849005.09,78,9,78,10,78,15,34
66,80,Charonne,20,20ème Ardt,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,8,79,80,20.703125000000004,5553,22,80,415,1267117.881927711,80,59,80,59,80,55,173
67,77,Belleville,20,20ème Ardt,15.1,20.9,23.1,20.0,14.4,6.5,29521.0,40850.0,45270.0,39188.0,28195.0,12790.0,195814.0,32494,3,76,77,23.978125,1542,29,77,390,439980.8461538461,77,27,77,24,77,22,73
68,72,La Chapelle,18,18ème Ardt,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,4,71,72,20.703125,1498,24,72,176,3315015.653409091,72,11,72,17,72,19,47
69,69,Grandes-Carrières,18,18ème Ardt,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,9,68,69,23.084374999999998,1734,55,69,735,1371430.7931972789,69,61,69,54,69,52,167
70,70,Clignancourt,18,18ème Ardt,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,11,69,70,23.084374999999998,2560,61,70,708,1279727.663841808,70,50,70,50,70,42,142
71,71,Goutte-d'Or,18,18ème Ardt,14.0,23.5,26.5,18.0,12.2,5.8,27256.0,45901.0,51653.0,35232.0,23842.0,11348.0,195232.0,31701,1,70,71,23.978125,3562,17,71,182,960061.8076923077,71,24,71,20,71,16,60
72,74,Pont-de-Flandre,19,19ème Ardt,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,8,73,74,20.703125000000004,3318,12,74,243,14321279.399176955,74,14,74,13,74,10,37
73,76,Combat,19,19ème Ardt,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,3,75,76,22.7,1026,26,76,280,1087702.175,76,43,76,44,76,43,130
74,75,Amérique,19,19ème Ardt,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,11,74,75,20.703125,4347,15,75,354,4692823.169491526,75,34,75,35,75,36,105
75,73,Villette,19,19ème Ardt,17.0,21.9,21.7,19.2,13.7,6.5,31775.0,40876.0,40560.0,35876.0,25713.0,12214.0,187014.0,27274,7,72,73,20.703125000000004,2680,30,73,296,3440797.9662162163,73,16,73,14,73,15,45
76,13,Saint-Merri,4,4ème Ardt,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,6,12,13,28.231250000000006,290,16,13,285,2016378.7157894736,13,26,13,32,13,34,92
77,16,Notre-Dame,4,4ème Ardt,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,1,15,16,28.231250000000003,25,5,16,82,1089989.524390244,16,2,16,3,16,3,8
78,14,Saint-Gervais,4,4ème Ardt,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,2,13,14,27.140625,683,40,14,222,1122918.6486486488,14,65,14,63,14,66,194
79,15,Arsenal,4,4ème Ardt,11.4,24.5,21.6,19.3,15.3,7.8,3195.0,6895.0,6057.0,5433.0,4308.0,2200.0,28088.0,17838,2,14,15,28.231250000000003,399,17,15,270,1703270.4555555556,15,38,15,35,15,39,112
