,c_qu,l_qu,c_ar,l_ar,prop_0-14,prop_15-29,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-14,nombre_15-29,nombre_30-44,nombre_45-59,nombre_60-74,nombre_75+,pop,densite,nombretransport,field_1,numquartier,ref,nb_logmt_total,nombre_de_commerce,id_quartier_x,nombreent,CA 1,id_quartier_y,nombretrot9h,id_quartier_x,nombretrot14h,id_quartier_y,nombretrot19h,id_quartier_x,nombretrot16h,id_quartier_y,nombretrot18h,nombretrottotal
0,20,Sorbonne,5,5ème Ardt,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,4,19,20,27.140625000000007,250,20,20,302,1708256.3509933774,20,62,20,65,20,65,20,65,20,65,322
1,19,Val-de-Grâce,5,5ème Ardt,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,1,18,19,27.140625000000004,449,23,19,281,1717349.2882562277,19,54,19,53,19,56,19,54,19,56,273
2,17,Saint-Victor,5,5ème Ardt,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,3,16,17,27.140625000000007,139,33,17,302,1207623.9105960266,17,48,17,49,17,47,17,47,17,47,238
3,18,Jardin-des-Plantes,5,5ème Ardt,11.4,29.2,17.3,16.9,15.5,9.5,6735.0,17195.0,10190.0,9966.0,9148.0,5615.0,58849.0,24817,2,17,18,25.165625,421,15,18,200,1957967.055,18,65,18,63,18,65,18,63,18,64,320
4,33,Saint-Georges,9,9ème Ardt,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,4,32,33,25.243749999999995,752,42,33,848,7647412.0,33,47,33,44,33,43,33,45,33,44,223
5,34,Chaussée-d'Antin,9,9ème Ardt,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,10,33,34,28.231250000000006,339,11,34,1379,6862653.575054388,34,29,34,30,34,38,34,31,34,35,163
6,35,Faubourg-Montmartre,9,9ème Ardt,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,5,34,35,25.243749999999995,420,28,35,1000,4301674.651,35,32,35,33,35,34,35,32,35,34,165
7,36,Rochechouart,9,9ème Ardt,14.0,25.0,25.4,17.8,11.8,6.0,8367.0,14887.0,15117.0,10598.0,7031.0,3556.0,59556.0,26888,0,35,36,25.24375,386,36,36,507,8037271.942800789,36,36,36,42,36,40,36,41,36,39,198
8,3,Palais-Royal,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,4,2,3,28.23125,137,9,3,559,3363643.7137745973,3,52,3,53,3,47,3,57,3,50,259
9,4,Place-Vendôme,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,1,3,4,28.231250000000006,12,15,4,603,10484956.938640133,4,47,4,50,4,47,4,48,4,47,239
10,2,Halles,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,1,2,25.24374999999999,445,25,2,732,3652209.62568306,2,28,2,27,2,28,2,27,2,25,135
11,1,Saint-Germain-l'Auxerrois,1,1er Ardt,11.8,22.1,22.7,20.3,14.9,8.1,1915.0,3592.0,3700.0,3307.0,2429.0,1322.0,16265.0,9863,5,0,1,28.23125000000001,215,4,1,99,78741306.04040404,1,20,1,20,1,25,1,17,1,25,107
12,32,Europe,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,12,31,32,27.590624999999996,415,35,32,1867,7232969.075522228,32,93,32,99,32,102,32,99,32,99,492
13,29,Champs-Elysées,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,8,28,29,28.231250000000003,14,5,29,1230,12751576.749593496,29,67,29,62,29,63,29,60,29,64,316
14,31,Madeleine,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,6,30,31,28.231250000000006,51,24,31,2296,9846318.880226482,31,67,31,62,31,53,31,63,31,55,300
15,30,Faubourg-du-Roule,8,8ème Ardt,15.1,23.7,20.2,18.7,14.8,7.6,5567.0,8734.0,7424.0,6867.0,5433.0,2782.0,36807.0,10147,2,29,30,28.231250000000006,353,16,30,2510,6788415.453386454,30,67,30,67,30,74,30,67,30,72,347
16,44,Sainte-Marguerite,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,6,43,44,25.165624999999995,1605,68,44,673,1595500.778603269,44,74,44,69,44,68,44,71,44,66,348
17,42,Saint-Ambroise,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,4,41,42,25.165624999999995,1188,44,42,518,1452410.4285714286,42,53,42,47,42,40,42,51,42,47,238
18,41,Folie-Méricourt,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,7,40,41,23.978125,887,31,41,590,1621806.8423728812,41,46,41,40,41,43,41,48,41,46,223
19,43,Roquette,11,11ème Ardt,12.0,24.7,25.4,17.8,13.6,6.5,17528.0,36257.0,37319.0,26153.0,19910.0,9476.0,146643.0,41341,3,42,43,23.97812499999999,1905,84,43,702,2161754.9928774927,43,102,43,95,43,93,43,92,43,91,473
